id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
41292503,Rental unit in Edinburgh · ★5.0 · 1 bedroom · 1 bed · 1 bath,748210,Ruth,,The Inch,55.92058,-3.14797,Entire home/apt,90,2,3,2023-06-02,3,2,62,3,
40690800,Rental unit in Edinburgh · 2 bedrooms · 2 beds · 0 baths,29624831,Lorna,,Shandon,55.93588,-3.23476,Entire home/apt,50,250,1,2021-01-31,0.03,16,0,0,
41304746,Rental unit in Edinburgh · ★4.33 · 2 bedrooms · 1 bath,120186,Laura,,North Leith and Newhaven,55.97706,-3.18629,Entire home/apt,135,2,3,2023-05-25,1.43,3,67,3,
40696828,Rental unit in Edinburgh · ★4.50 · 3 bedrooms · 8 beds · 3 baths,21906467,Alison,,New Town West,55.95308,-3.2006,Entire home/apt,493,2,6,2023-04-07,0.44,43,312,4,
41334209,Rental unit in Edinburgh · ★4.90 · 1 bedroom · 1 bed · 1 bath,646220,Reserve,,Abbeyhill,55.95565,-3.1669,Entire home/apt,200,1,48,2023-05-28,1.43,47,10,16,
40722275,Bed and breakfast in Portobello · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,22249009,Rosanne,,Portobello,55.953579,-3.11097,Private room,85,2,22,2023-06-10,0.52,2,91,21,
41337901,Rental unit in Edinburgh · ★4.57 · 2 bedrooms · 2 beds · 1 bath,47550115,Rachel,,Dalry and Fountainbridge,55.9424,-3.22005,Entire home/apt,100,3,7,2022-08-14,0.29,1,0,4,
41361564,Rental unit in Edinburgh · ★4.66 · 2 bedrooms · 2 beds · 2 baths,37563463,Altido,,"Old Town, Princes Street and Leith Street",55.95039,-3.18444,Entire home/apt,199,2,86,2023-05-22,2.08,155,281,21,
41361613,Rental unit in Edinburgh · ★4.59 · 1 bedroom · 2 beds · 1 bath,37563463,Altido,,"Old Town, Princes Street and Leith Street",55.950092,-3.185131,Entire home/apt,143,2,51,2023-05-26,1.25,155,284,13,
41364195,Rental unit in Edinburgh · ★4.30 · 1 bedroom · 1 bed · 1 bath,646220,Reserve,,Meadowbank and Abbeyhill North,55.96071,-3.1617,Entire home/apt,151,1,10,2023-05-29,0.31,47,5,4,
40749866,Rental unit in Edinburgh · ★4.79 · 1 bedroom · 1 bed · 1 bath,313832180,Anne,,"Old Town, Princes Street and Leith Street",55.9496994,-3.19363999,Entire home/apt,148,2,94,2023-05-27,2.23,1,1,17,
40758181,Rental unit in Edinburgh  · 1 bedroom · 1 bath,272200535,Isaac,,The Calders,55.91977,-3.2997,Private room,998,3,2,2020-01-26,0.05,9,365,0,
41370621,Rental unit in Scotland · 1 bedroom · 1 shared bath,272200535,Isaac,,South Gyle,55.92159,-3.30064,Private room,998,1,0,,,9,365,0,
40774538,Rental unit in Edinburgh · ★4.39 · 3 bedrooms · 3 beds · 1 bath,87762710,Denise,,Bonaly and The Pentlands,55.90766,-3.25833,Entire home/apt,184,1,38,2023-06-05,0.90,38,51,15,
41387386,Rental unit in Edinburgh · ★5.0 · 2 bedrooms · 2 beds · 1 bath,34134827,Susie,,"Inverleith, Goldenacre and Warriston",55.9682,-3.20593,Entire home/apt,179,2,41,2023-05-28,1.01,1,111,20,
40777187,Rental unit in Edinburgh · ★4.64 · 1 bedroom · 1 bed · 1 bath,316691159,Viktor & Hana,,Dalry and Fountainbridge,55.94263,-3.2155,Entire home/apt,101,2,165,2023-06-05,3.91,7,23,64,
41389899,Rental unit in Edinburgh · ★4.98 · 2 bedrooms · 2 beds · 2 baths,5856601,Jo,,Hillside and Calton Hill,55.9559,-3.17634,Entire home/apt,266,2,48,2023-05-28,1.93,2,237,28,
41392413,Rental unit in Edinburgh · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,227025773,Ailsa,,Drylaw,55.96241,-3.24052,Private room,51,1,80,2023-06-06,1.96,1,63,48,
40779585,Rental unit in Edinburgh · ★4.93 · 2 bedrooms · 2 beds · 1 bath,316823042,Idrisha,,"Old Town, Princes Street and Leith Street",55.94973,-3.18763,Entire home/apt,267,3,29,2023-06-12,0.69,1,23,12,
41426357,Rental unit in Edinburgh · ★4.97 · 1 bedroom · 1 bed · 1 bath,325620741,Jim,,Marchmont East and Sciennes,55.9397,-3.19453,Entire home/apt,110,1,38,2023-04-23,1.13,1,50,5,
40794240,Villa in Edinburgh · ★4.83 · 1 bedroom · 2 beds · 1 private bath,44211543,Natalie,,Comely Bank,55.95934,-3.22616,Private room,94,7,36,2023-06-12,0.85,1,342,14,
41470054,Rental unit in Edinburgh · ★4.93 · 1 bedroom · 2 beds · 1 bath,325637743,Denise,,Broughton North and Powderhall,55.96431,-3.19272,Entire home/apt,95,2,152,2023-06-07,3.73,2,7,83,
40833212,Rental unit in Edinburgh · ★4.72 · 2 bedrooms · 2 beds · 1 bath,5116371,Dele,,Dalry and Fountainbridge,55.94319,-3.21707,Entire home/apt,136,2,155,2023-05-29,3.71,4,25,60,
40854534,Guest suite in Edinburgh · ★4.90 · 1 bedroom · 1 bed · 1 bath,295469814,Alba Isabel,,Balgreen and Roseburn,55.94065,-3.25616,Entire home/apt,91,1,273,2023-06-06,6.51,1,33,90,
41495625,Rental unit in Edinburgh · ★4.92 · 2 bedrooms · 2 beds · 1 bath,6200921,Eddie,,"Old Town, Princes Street and Leith Street",55.9498,-3.18871,Entire home/apt,375,2,38,2023-06-05,0.95,21,62,19,
